Review,Sentiment,Cleaned_Review,Sentiment_Label,Review_Length,Word_Count
All of the main players are mesmerising.  ,1,all of the main players are mesmerising,Positive,39,7
Tom Wilkinson broke my heart at the end... and everyone else's judging by the amount of fumbling for hankies and hands going up to faces among males and females alike.  ,1,tom wilkinson broke my heart at the end and everyone elses judging by the amount of fumbling for hankies and hands going up to faces among males and females alike,Positive,162,30
Julian Fellowes has triumphed again.  ,1,julian fellowes has triumphed again,Positive,35,5
He's a national treasure.  ,1,hes a national treasure,Positive,23,4
GO AND SEE IT!  ,1,go and see it,Positive,13,4
This is an excellent film.  ,1,this is an excellent film,Positive,25,5
The aerial scenes were well-done.  ,1,the aerial scenes were welldone,Positive,31,5
It was also the right balance of war and love.  ,1,it was also the right balance of war and love,Positive,45,10
"The film gives meaning to the phrase, ""Never in the history of human conflict has so much been owed by so many to so few.  ",1,the film gives meaning to the phrase never in the history of human conflict has so much been owed by so many to so few,Positive,118,25
Kris Kristoffersen is good in this movie and really makes a difference.  ,1,kris kristoffersen is good in this movie and really makes a difference,Positive,70,12
A good film by a great director!  ,1,a good film by a great director,Positive,31,7
This is definitely one of the better documentaries I have seen looking at family relationships and marriage.  ,1,this is definitely one of the better documentaries i have seen looking at family relationships and marriage,Positive,107,17
"There are many continuity errors: one other user commented on different cars in the garage, Joe's glasses...the one that got to me the most was the fact Joe's facial hair configuration seemed to change from scene to scene.  ",0,there are many continuity errors one other user commented on different cars in the garage joes glassesthe one that got to me the most was the fact joes facial hair configuration seemed to change from scene to scene,Negative,214,38
This is just a great movie.  ,1,this is just a great movie,Positive,26,6
10 out of 10 stars.  ,1,out of stars,Positive,12,3
I can't see how this movie can be an inspiration to anyone to come out or overcome fear and rejection.  ,0,i cant see how this movie can be an inspiration to anyone to come out or overcome fear and rejection,Negative,100,20
It's so bad it's actually worth seeing just for that reason.  ,0,its so bad its actually worth seeing just for that reason,Negative,57,11
Punishment Park is a brilliant piece of cinema.  ,1,punishment park is a brilliant piece of cinema,Positive,46,8
"Shot in the Southern California desert using his patent faux documentary style, Watkins creates a film like no other.  ",1,shot in the southern california desert using his patent faux documentary style watkins creates a film like no other,Positive,115,19
This is one of Peter Watkins most accessible films.  ,1,this is one of peter watkins most accessible films,Positive,50,9
I advise you to look out for it.  ,1,i advise you to look out for it,Positive,31,8
You wont regret it!  ,1,you wont regret it,Positive,18,4
Highly recommended A+  ,1,highly recommended a,Positive,20,3
Well... Just if you keep thinking how bad it is.  ,0,well just if you keep thinking how bad it is,Negative,44,10
"It's a mediocre, miserable, hollow, laughable and predictable piece of garbage.  ",0,its a mediocre miserable hollow laughable and predictable piece of garbage,Negative,74,11
It's a case of 'so bad it is laughable'.  ,0,its a case of so bad it is laughable,Negative,36,9
") very bad performance plays Angela Bennett, a computer expert who is at home all the time.  ",0,very bad performance plays angela bennett a computer expert who is at home all the time,Negative,87,16
"It is a film about nothing, just a pretext to show ridiculous action scenes.  ",0,it is a film about nothing just a pretext to show ridiculous action scenes,Negative,74,14
How awful she is!  ,0,how awful she is,Negative,16,4
"But she is still a bad actress, repeating her robotic face moves in each of her pictures.  ",0,but she is still a bad actress repeating her robotic face moves in each of her pictures,Negative,87,17
"The results, well, are a shame.  ",0,the results well are a shame,Negative,28,6
DELETE this film from your mind!  ,0,delete this film from your mind,Negative,31,6
One of the worst shows of all time.  ,0,one of the worst shows of all time,Negative,34,8
The show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for.  ,0,the show would begin with smart ass ed comments to each other that would be totally off the wall and uncalled for,Negative,113,22
"The fat computer geek was unbelievable, the bible thumper, the bad-ass girl, who are these actors???  ",0,the fat computer geek was unbelievable the bible thumper the badass girl who are these actors,Negative,93,16
Never heard of any of them except Cole who was totally unbelievable in the part.  ,0,never heard of any of them except cole who was totally unbelievable in the part,Negative,79,15
"Every time he opened his mouth you expect to hear, ""you see kids..."" Pulling the plug was a mercy killing for this horrible show.  ",0,every time he opened his mouth you expect to hear you see kids pulling the plug was a mercy killing for this horrible show,Negative,122,24
The stories were as unbelievable as the actors.  ,0,the stories were as unbelievable as the actors,Negative,46,8
Lame would be the best way to describe it.  ,0,lame would be the best way to describe it,Negative,41,9
"Stanwyck and Morgan are perfectly cast in what is, in many ways, a modern equivalent of Dickens' Christmas Carol in its sensibility.  ",1,stanwyck and morgan are perfectly cast in what is in many ways a modern equivalent of dickens christmas carol in its sensibility,Positive,128,22
The success of the film depends on the casting of Sydney Greenstreet as the Alexander Yardley character.  ,1,the success of the film depends on the casting of sydney greenstreet as the alexander yardley character,Positive,103,17
The attractive set used throughout most of the film is an eye-pleasing gem.  ,1,the attractive set used throughout most of the film is an eyepleasing gem,Positive,73,13
"Im big fan of RPG games too, but this movie, its a disgrace to any self-respecting RPGer there is.  ",0,im big fan of rpg games too but this movie its a disgrace to any selfrespecting rpger there is,Negative,94,19
"The lines, the cuts, the audio, everything is wrong.  ",0,the lines the cuts the audio everything is wrong,Negative,48,9
You can find better movies at youtube.  ,0,you can find better movies at youtube,Negative,37,7
"Top line: Don't waste your time and money on this one, its as bad as it comes.  ",0,top line dont waste your time and money on this one its as bad as it comes,Negative,74,17
"A Lassie movie which should have been ""put to sleep"".... FOREVER.  ",0,a lassie movie which should have been put to sleep forever,Negative,58,11
That's how I'd describe this painfully dreary time-waster of a film.  ,0,thats how id describe this painfully dreary timewaster of a film,Negative,64,11
"So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I've seen.  ",0,so mediocre in every aspect that it just becomes a dull uninteresting mess this is one of the most forgettable movies ive seen,Negative,126,23
"It isn't even an achievement as a ""so-bad-it's-good"" or ""so-bad-it's-memorable"" movie.  ",0,it isnt even an achievement as a sobaditsgood or sobaditsmemorable movie,Negative,72,11
"It's an empty, hollow shell of a movie.  ",0,its an empty hollow shell of a movie,Negative,36,8
"Seriously, it's not worth wasting your, or your kid's time on.  ",0,seriously its not worth wasting your or your kids time on,Negative,57,11
"Avoid, avoid, avoid!  ",0,avoid avoid avoid,Negative,17,3
It will drive you barking mad!  ,0,it will drive you barking mad,Negative,29,6
The transfers are very good.  ,1,the transfers are very good,Positive,27,5
Very nice and relaxing late night viewing.  ,1,very nice and relaxing late night viewing,Positive,41,7
The movie is full of wonderful dancing (hence the title!  ,1,the movie is full of wonderful dancing hence the title,Positive,54,10
") some great music, and terrific scenery.  ",1,some great music and terrific scenery,Positive,37,6
"It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!  ",1,it handles some tough issues with dignity and grace and of course has shocking spoiler here,Positive,91,16
") a happy, wonderful, feel good ending!  ",1,a happy wonderful feel good ending,Positive,34,6
"The point is the journey, a journey that touches every member of the family.  ",1,the point is the journey a journey that touches every member of the family,Positive,74,14
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1,its one of the movies i need to see whenever it comes on tvnever mind the fact that i already have it memorized,Positive,111,23
Nothing new there.  ,0,nothing new there,Negative,17,3
That was done in the second movie.  ,0,that was done in the second movie,Negative,33,7
The movie has almost no action scenes in it and very little comedy.  ,0,the movie has almost no action scenes in it and very little comedy,Negative,66,13
The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.  ,0,the plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted,Negative,114,20
What on earth is Irons doing in this film?  ,0,what on earth is irons doing in this film,Negative,41,9
I just saw this film and I recommend it.  ,1,i just saw this film and i recommend it,Positive,39,9
"It has a very good plot, it holds your complete attention, the acting is superb, Tom Wilkinson was fantastic and Emily Watson was also very good.  ",1,it has a very good plot it holds your complete attention the acting is superb tom wilkinson was fantastic and emily watson was also very good,Positive,141,26
"A very good film indeed, about great and unconditional love.  ",1,a very good film indeed about great and unconditional love,Positive,58,10
"Tom Wilkinson's character is a man who is not prepared for the ordeal that is about to begin, but he takes the matter in hand as the story progresses, and this great actor gives a performance that makes you feel the character's anguish and suffering.  ",1,tom wilkinsons character is a man who is not prepared for the ordeal that is about to begin but he takes the matter in hand as the story progresses and this great actor gives a performance that makes you feel the characters anguish and suffering,Positive,245,45
"Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  ",1,emily watsons character is very strong and she has only to give a quick glance and you understand everything,Positive,108,19
"Despite the pans of reviewers, I liked this movie.  ",1,despite the pans of reviewers i liked this movie,Positive,48,9
"In fact, I liked it better than Interview With a Vampire and I liked this Lestat (Stuart Townsend) better than Cruise's attempt.  ",1,in fact i liked it better than interview with a vampire and i liked this lestat stuart townsend better than cruises attempt,Positive,123,22
"Aailiyah was pretty good as Akasha, in places compelling (her first entrance and mini dance scene).  ",1,aailiyah was pretty good as akasha in places compelling her first entrance and mini dance scene,Positive,95,16
"I'm a big fan of this series mostly due to Anne Rice's style, sensitivities and treatments.  ",1,im a big fan of this series mostly due to anne rices style sensitivities and treatments,Positive,87,16
I guess I liked the details of his dysfunction--he was believable.  ,1,i guess i liked the details of his dysfunctionhe was believable,Positive,63,11
The football scenes at the end were perplexing.  ,0,the football scenes at the end were perplexing,Negative,46,8
But I thought his acting was skilled.  ,1,but i thought his acting was skilled,Positive,36,7
Meredith M was better than all right.  ,1,meredith m was better than all right,Positive,36,7
A very charming film with wonderful sentiment and heart.  ,1,a very charming film with wonderful sentiment and heart,Positive,55,9
It is rare when a film-maker takes the time to tell a worthy moral tale with care and love that doesn't fall into the trap of being overly syrupy or over indulgent.  ,1,it is rare when a filmmaker takes the time to tell a worthy moral tale with care and love that doesnt fall into the trap of being overly syrupy or over indulgent,Positive,161,32
Nine out of ten for a truly lovely film.  ,1,nine out of ten for a truly lovely film,Positive,39,9
This early film from future goremeister Lucio Fulci is a very good addition to the giallo sub-genre.  ,1,this early film from future goremeister lucio fulci is a very good addition to the giallo subgenre,Positive,98,17
This is one of the best Italian thrillers of the early 70's.  ,1,this is one of the best italian thrillers of the early s,Positive,56,12
A standout scene.  ,1,a standout scene,Positive,16,3
This scene is very strong and unpleasant.  ,0,this scene is very strong and unpleasant,Negative,40,7
"Technically, the film is well made with impressive camera-work, solid acting and effective music from Riz Ortolani  particularly good is a recurring unaccompanied female vocal that sounds like it's coming from a distant hill.  ",1,technically the film is well made with impressive camerawork solid acting and effective music from riz ortolani particularly good is a recurring unaccompanied female vocal that sounds like its coming from a distant hill,Positive,219,34
It's still wild stuff though and is highly recommended to fans of giallo cinema.  ,1,its still wild stuff though and is highly recommended to fans of giallo cinema,Positive,78,14
The movie was very interesting from beginning to the end.  ,1,the movie was very interesting from beginning to the end,Positive,56,10
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1,i liked the way dustin hoffmans character was ready to do just about everything to stay with his son,Positive,100,19
This movie is also revealing.  ,1,this movie is also revealing,Positive,28,5
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1,personally i think it shows that people should learn to find a compromise them self without involving other people into issue,Positive,125,21
And it was boring.  ,0,and it was boring,Negative,17,4
"I am so tired of clichés that is just lazy writing, and here they come in thick and fast.  ",0,i am so tired of clichs that is just lazy writing and here they come in thick and fast,Negative,86,19
PS the only scene in the movie that was cool is when the central character finds her room blown up.  ,1,ps the only scene in the movie that was cool is when the central character finds her room blown up,Positive,98,20
"It's a fresh, subtle, and rather sublime effect.  ",1,its a fresh subtle and rather sublime effect,Positive,44,8
"An Italian reviewer called this ""a small, great film,"" and that's right.  ",1,an italian reviewer called this a small great film and thats right,Positive,66,12
"All the actors give a wonderful performance, especially Jennifer Rubin as Jamie Harris, who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star.  ",1,all the actors give a wonderful performance especially jennifer rubin as jamie harris who changes from the nervous starlet in the beginning through the strange events she is part of to the cool star,Positive,198,34
"You learn a lot about the real inside emotions of people in this movie, and a lot about the movie business itself.  ",1,you learn a lot about the real inside emotions of people in this movie and a lot about the movie business itself,Positive,112,22
"The movie in movie situations in the beginning and through the game that is played with her by the ""acting coach"" are fascinating.  ",1,the movie in movie situations in the beginning and through the game that is played with her by the acting coach are fascinating,Positive,127,23
Also the music by Mark Snow is possibly the best score I've ever heard.  ,1,also the music by mark snow is possibly the best score ive ever heard,Positive,69,14
You won't forget this movie!  ,1,you wont forget this movie,Positive,26,5
Why was this film made?  ,0,why was this film made,Negative,22,5
The film has an ultra-cheap look to it.  ,0,the film has an ultracheap look to it,Negative,37,8
The result is a film that just don't look right.  ,0,the result is a film that just dont look right,Negative,46,10
None of them are engaging or exciting.  ,0,none of them are engaging or exciting,Negative,37,7
The plot is nonsense that doesn't interest in the slightest way or have any uniqueness to it.  ,0,the plot is nonsense that doesnt interest in the slightest way or have any uniqueness to it,Negative,91,17
The Foreigner is not worth one second of your time.  ,0,the foreigner is not worth one second of your time,Negative,50,10
"I saw it as a child on TV back in 1973, when it was ""The Stranger"" and I loved it.  ",1,i saw it as a child on tv back in when it was the stranger and i loved it,Positive,73,19
But the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the Cold War and the astronaut's biggest fear is that he has crashed in the USSR.  ,1,but the duet between the astronaut and his doctor at the beginning of the movie is a perfect exchange if one considers that this movie was made well into the cold war and the astronauts biggest fear is that he has crashed in the ussr,Positive,233,45
This movie is so awesome!  ,1,this movie is so awesome,Positive,24,5
"I loved it, it was really scary.  ",1,i loved it it was really scary,Positive,30,7
I love the Scream movies and all horror movies and this one ranks way up there.  ,1,i love the scream movies and all horror movies and this one ranks way up there,Positive,78,16
If you want a real scare rent this one!  ,1,if you want a real scare rent this one,Positive,38,9
This is an extraordinary film.  ,1,this is an extraordinary film,Positive,29,5
"As a courtroom drama, it's compelling, as an indictment on the American justice system, it's frightening.  ",1,as a courtroom drama its compelling as an indictment on the american justice system its frightening,Positive,99,16
"This film highlights the fundamental flaws of the legal process, that it's not about discovering guilt or innocence, but rather, is about who presents better in court.  ",1,this film highlights the fundamental flaws of the legal process that its not about discovering guilt or innocence but rather is about who presents better in court,Positive,162,27
"The film is well paced, understated and one of the best courtroom documentaries I've seen.  ",1,the film is well paced understated and one of the best courtroom documentaries ive seen,Positive,87,15
This mostly routine fact-based TV drama gets a boost from the fine performance by Cole.  ,1,this mostly routine factbased tv drama gets a boost from the fine performance by cole,Positive,85,15
"Predictable, but not a bad watch.  ",1,predictable but not a bad watch,Positive,31,6
It was clear that she had the range and ability to pull off this part.  ,1,it was clear that she had the range and ability to pull off this part,Positive,69,15
She carries the movie well.  ,1,she carries the movie well,Positive,26,5
Constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations.  ,1,constantine gives everything the right intensity and seems to have a good understanding of the underlying psychological motivations,Positive,131,18
"It is wonderful and inspiring to watch, and I hope that it gets released again on to video or DVD.  ",1,it is wonderful and inspiring to watch and i hope that it gets released again on to video or dvd,Positive,96,20
"How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it's ALL wrong.  ",0,how this piece of trash was ever released is beyond me the acting the story the characters the supposedly special effects etcits all wrong,Negative,138,24
"In fact, this stinker smells like a direct-to-video release.  ",0,in fact this stinker smells like a directtovideo release,Negative,56,9
Avoid at ALL costs!  ,0,avoid at all costs,Negative,18,4
Star Trek V The final Frontier is the worst in the series.  ,0,star trek v the final frontier is the worst in the series,Negative,57,12
"The acting from all involved and that includes those like Shatner and Nimoy is bad and washed out and making them seem as old as they look in real life, the special effects are tacky like when Spock has to rescue Kirk on a jet pack when he falls down from a mountain.  ",0,the acting from all involved and that includes those like shatner and nimoy is bad and washed out and making them seem as old as they look in real life the special effects are tacky like when spock has to rescue kirk on a jet pack when he falls down from a mountain,Negative,265,53
The attempts at humor were pitiful and story is so awful it dosen't bear thinking about which basically involves a Vulcan stealing the Enterprise to find god (seriously) I just didn't care about any of this film and oh not to mention Uhura does a belly dance to distract male guards.  ,0,the attempts at humor were pitiful and story is so awful it dosent bear thinking about which basically involves a vulcan stealing the enterprise to find god seriously i just didnt care about any of this film and oh not to mention uhura does a belly dance to distract male guards,Negative,278,51
The only place good for this film is in the garbage.  ,0,the only place good for this film is in the garbage,Negative,51,11
The worst one of the series.  ,0,the worst one of the series,Negative,27,6
Editing: The editing of this film was phenomenal in my opinion.  ,1,editing the editing of this film was phenomenal in my opinion,Positive,61,11
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1,when a song could explain the emotions of the subjects better such as when jay adams unfortunate life was a subject of talk the song old man by neil young was played which evokes many emotions,Positive,192,36
Cinematography: The film was shot in an interesting way.  ,1,cinematography the film was shot in an interesting way,Positive,54,9
"Of course the footage from the 70s was grainy, but that only enhanced the film.  ",1,of course the footage from the s was grainy but that only enhanced the film,Positive,75,15
This film offers many delights and surprises.  ,1,this film offers many delights and surprises,Positive,44,7
"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1,when achille and philippa beautifully sing a duet from don giovanni that perfectly describes their situation in the movie you appreciate the subtle layers of this excellent film,Positive,177,28
The story unfolds in 18th century Jutland and the use of period music played on period instruments is just one more fine touch.  ,1,the story unfolds in th century jutland and the use of period music played on period instruments is just one more fine touch,Positive,124,23
You share General Loewenhielm's exquisite joy in his partaking of the Cailles en Sarcophage even though you are just watching a movie - but you do wish for just a small sample to savor.  ,1,you share general loewenhielms exquisite joy in his partaking of the cailles en sarcophage even though you are just watching a movie but you do wish for just a small sample to savor,Positive,181,33
But this understated film leaves a lasting impression.  ,1,but this understated film leaves a lasting impression,Positive,53,8
The warmth it generates is in contrast to its austere backdrop.  ,1,the warmth it generates is in contrast to its austere backdrop,Positive,62,11
You will leave the theater wanting to go out and dance under the stars.  ,1,you will leave the theater wanting to go out and dance under the stars,Positive,70,14
"The acting, as you'd expect from this cast, is top notch.  ",1,the acting as youd expect from this cast is top notch,Positive,53,11
"The characters are fleshed out surprisingly well, particularly Grimes and Blake, and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic.  ",1,the characters are fleshed out surprisingly well particularly grimes and blake and all the actors deliver their sharply scripted lines with just the right amount of deadpan tongue in cheek to make the dialogue both hilarious and realistic,Positive,238,38
"Angus Scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing, violin-playing anatomist Doctor Quinn.  ",1,angus scrimm also turns in a good performance in a somewhat brief but memorable role as the gently menacing violinplaying anatomist doctor quinn,Positive,144,23
Conclusion - I loved it.  ,1,conclusion i loved it,Positive,21,4
It's a long time since I was so entertained by a movie.  ,1,its a long time since i was so entertained by a movie,Positive,53,12
I struggle to find anything bad to say about it.  ,1,i struggle to find anything bad to say about it,Positive,47,10
"Mark my words, this is one of those cult films like Evil Dead 2 or Phantasm that people will still be discovering and falling in love with 20, 30, 40 years down the line.  ",1,mark my words this is one of those cult films like evil dead or phantasm that people will still be discovering and falling in love with years down the line,Positive,155,30
"It's pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.  ",1,its pretty surprising that this wonderful film was made in as hollywood generally had its collective heads in the sand concerning black and white issues at that time,Positive,165,28
"The film deserves strong kudos for taking this stand, for having exceptional acting from its mostly lesser-known cast and for the super-intelligent script that doesn't insult the audience or take the easy way out when it comes to white racism.  ",1,the film deserves strong kudos for taking this stand for having exceptional acting from its mostly lesserknown cast and for the superintelligent script that doesnt insult the audience or take the easy way out when it comes to white racism,Positive,238,40
"Plus, with the movie's rather modest budget and fast running time, it does an amazing job!  ",1,plus with the movies rather modest budget and fast running time it does an amazing job,Positive,86,16
Juano Hernandez (an exceptional actor who played supporting roles in many films of the era) is a proud black man who is accused of murdering a white man in the South.  ,1,juano hernandez an exceptional actor who played supporting roles in many films of the era is a proud black man who is accused of murdering a white man in the south,Positive,163,31
Trumbull on I LOVE LUCY).  ,1,trumbull on i love lucy,Positive,23,5
See it with your kids if you have a chance--it will open up some amazing dialog about how far race relations have come in the last 50 years.  ,1,see it with your kids if you have a chanceit will open up some amazing dialog about how far race relations have come in the last years,Positive,134,27
See both films if you can.  ,1,see both films if you can,Positive,25,6
"It was that year, however, that reminded us that Huston was still at the top of his game as evinced by his faithful adaptation of James Joyce's acclaimed novella ""The Dead.  ",1,it was that year however that reminded us that huston was still at the top of his game as evinced by his faithful adaptation of james joyces acclaimed novella the dead,Positive,167,31
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1,feelings thoughtsgabriels discomfort during the danceall these intangibles leap to life and come within the viewers grasp in hustons portrayal,Positive,142,20
Very disappointed and wondered how it could be in the Oscar shortlist.  ,0,very disappointed and wondered how it could be in the oscar shortlist,Negative,69,12
It's very slow.  ,0,its very slow,Negative,13,3
Lot of holes in the plot: there's nothing about how he became the emperor; nothing about where he spend 20 years between his childhood and mature age.  ,0,lot of holes in the plot theres nothing about how he became the emperor nothing about where he spend years between his childhood and mature age,Negative,143,26
) Don't waste your time.  ,0,dont waste your time,Negative,20,4
End of Days is one of the worst big-budget action movies I've ever seen.  ,0,end of days is one of the worst bigbudget action movies ive ever seen,Negative,69,14
He surely doesn't know how to make a coherent action movie from the screenwriter of Air Force One who was only obliged to write the script just for a big sum of money.  ,0,he surely doesnt know how to make a coherent action movie from the screenwriter of air force one who was only obliged to write the script just for a big sum of money,Negative,165,33
This was one of the worst films i have ever seen.  ,0,this was one of the worst films i have ever seen,Negative,48,11
I'm still trying to get over how bad it was.  ,0,im still trying to get over how bad it was,Negative,42,10
This movie is possibly one of the most creative works of horror ever.  ,1,this movie is possibly one of the most creative works of horror ever,Positive,68,13
"It has everything you could want... suspense, drama, comedy, confusing subplots, native americans, brain eating... If you're looking for the be-all, end-all of brainsucking movies, look no further.  ",1,it has everything you could want suspense drama comedy confusing subplots native americans brain eating if youre looking for the beall endall of brainsucking movies look no further,Positive,180,28
" With great sound effects, and impressive special effects, I can't recommend this movie enough.  	1
Call me a nut, but I think this is one of the best movies ever.  	1
Great character actors Telly Savalas and Peter Boyle.  	1
1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?  	0
Lots of holes in the script.  	0
It's like a bad two hour TV movie.  	0
Now imagine that every single one of those decisions was made wrong.  	0
The dialogue is atrocious.  	0
The acting is beyond abysmal.  	0
Everything stinks.  	0
Trouble is, the writing and directing make it impossible to establish those things that make a movie watchable, like character, story, theme and so on.  	0
Worse, there's an incredibly weak sub-plot thrown in that follows a little band of latter-day Mansonites as they go after a reporter who's working on a story on the anniversary of the killings.  	0
It's dumb and pointless, and a complete waste of time.  	0
In short, don't bother with this movie.  	0
I won't spoil it, but the ending in pretty amazing.  	1
The best scene in the movie is at the end, but I won't spoil it.  	1
If there was ever an indication of a writer and a director's ability to meld two highly volatile temperaments into a seamless union of creativity, then this is it!  	1
The result is a powerhouse achievement, made more timely now perhaps because of our culture's disturbing fascination with celebrity, and it's distorted interpretations of fame.  	1
A film not easily forgotten.  	1
But, Kevin Spacey is an excellent, verbal tsunami as Buddy Ackerman  and totally believable because he is a great actor.  	1
The scripting of the subtle comedy is unmatched by any movie in recent years.  	1
The characters are interesting, even if a bit predictable.  	1
Highly recommended for all ages, although the younger set will probably not appreciate some of the more subtle references, they will certainly appreciate one galley scene in particular!  	1
Great movie!  	1
Also the story and acting were weak.  	0
At around 4 pm I bought it, at around 8pm I started to watch, at around 8.15pm I fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain... but there wasn't.  	0
Either way, it sucks.  	0
The script is horrendously stupid.  	0
The story starts too fast with absolutely no suspense or build-up in the slightest.  	0
Everything Captain Howdy says is either laughable or just plain stupid.  	0
What the hell kind of crap is that?!  	0
Then, there's the plot holes.  	0
You could drive a semi truck into these holes!  	0
Linda Cardellini is the only thing good in this film.  	1
She's poised and amazing.  	1
Dee Snider just plain sucks.  	0
He can't act (one of the least scary villains I have ever seen), he can't write (did he write this damn movie in his sleep?  	0
I was bored throughout the whole damn thing.  	0
The acting sucks, the music sucks, the script sucks, the pacing sucks, the special FX suck, the directing sucks... basically, this movie sucks.  	0
This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.  	0
This is probably one of the least effective and utterly unoriginal films I have ever seen in my entire life.  	0
A piece of cinematic garbage captured on celluloid.  	0
Avoid at any and all costs.  	0
At any rate this film stinks, its not funny, and Fulci should have stayed with giallo and supernatural zombie movies.  	0
Avoid this film at all costs.  	0
I don't know what happened in Season Five, what a mess.  	0
The only consistent thread holding the series together were the amazing performances of Leni Parker and Anita LaSelva as the two Taelons in quiet idealogical conflict.  	0
Now this is a movie I really dislike.  	0
It's one of the most boring Horror movies from the 90's mainly because it starts slow and centers in a boring atmosphere.  	0
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
The story is lame, not interesting and NEVER really explains the sinister origins of the puppets.  	0
There aren't death scenes like in previous movies and the f/x are terrible.  	0
I felt asleep the first time I watched it, so I can recommend it for insomniacs.  	0
The fact is, this film is a wonderful, heartwarming tale about two people chasing their dreams.  	1
The best part about Nurse Betty"" is it's unpredictability.  ",1,with great sound effects and impressive special effects i cant recommend this movie enough call me a nut but i think this is one of the best movies ever great character actors telly savalas and peter boyle hour minutes of sheer tedium melodrama and horrible acting a mess of a script and a sinking feeling of good lord what were they thinking lots of holes in the script its like a bad two hour tv movie now imagine that every single one of those decisions was made wrong the dialogue is atrocious the acting is beyond abysmal everything stinks trouble is the writing and directing make it impossible to establish those things that make a movie watchable like character story theme and so on worse theres an incredibly weak subplot thrown in that follows a little band of latterday mansonites as they go after a reporter whos working on a story on the anniversary of the killings its dumb and pointless and a complete waste of time in short dont bother with this movie i wont spoil it but the ending in pretty amazing the best scene in the movie is at the end but i wont spoil it if there was ever an indication of a writer and a directors ability to meld two highly volatile temperaments into a seamless union of creativity then this is it the result is a powerhouse achievement made more timely now perhaps because of our cultures disturbing fascination with celebrity and its distorted interpretations of fame a film not easily forgotten but kevin spacey is an excellent verbal tsunami as buddy ackerman and totally believable because he is a great actor the scripting of the subtle comedy is unmatched by any movie in recent years the characters are interesting even if a bit predictable highly recommended for all ages although the younger set will probably not appreciate some of the more subtle references they will certainly appreciate one galley scene in particular great movie also the story and acting were weak at around pm i bought it at around pm i started to watch at around pm i fast forwarded the remaining film to see if there was anything left watchable for a human being with a brain but there wasnt either way it sucks the script is horrendously stupid the story starts too fast with absolutely no suspense or buildup in the slightest everything captain howdy says is either laughable or just plain stupid what the hell kind of crap is that then theres the plot holes you could drive a semi truck into these holes linda cardellini is the only thing good in this film shes poised and amazing dee snider just plain sucks he cant act one of the least scary villains i have ever seen he cant write did he write this damn movie in his sleep i was bored throughout the whole damn thing the acting sucks the music sucks the script sucks the pacing sucks the special fx suck the directing sucks basically this movie sucks this film tries to be a serious and sophisticated thrillerhorror flick and it fails miserably this is probably one of the least effective and utterly unoriginal films i have ever seen in my entire life a piece of cinematic garbage captured on celluloid avoid at any and all costs at any rate this film stinks its not funny and fulci should have stayed with giallo and supernatural zombie movies avoid this film at all costs i dont know what happened in season five what a mess the only consistent thread holding the series together were the amazing performances of leni parker and anita laselva as the two taelons in quiet idealogical conflict now this is a movie i really dislike its one of the most boring horror movies from the s mainly because it starts slow and centers in a boring atmosphere the puppets look really cheesy not in a good way like in the puppet master s flicks the story is lame not interesting and never really explains the sinister origins of the puppets there arent death scenes like in previous movies and the fx are terrible i felt asleep the first time i watched it so i can recommend it for insomniacs the fact is this film is a wonderful heartwarming tale about two people chasing their dreams the best part about nurse betty is its unpredictability,Positive,4113,738
